Country,Life_expectancy ,GDP_per_capita,Population,Continent
Georgia,73.51,2158.28,10152.375,Europe
Germany,81.18,24337.75,38757347.44,Europe
Ghana,60.86,834.38,11534782.63,Africa
Greece,81.22,16454.24,1550208.438,Europe
Grenada,73.29,6259.52,0,North America
Guatemala,71.73,2365.83,5933907.5,North America
Guinea,56.01,279.46,4252798.938,Africa
Guinea-Bissau,55.37,384.21,981883.1875,Africa
Guyana,65.64,1783.88,494437.25,South America
Haiti,59.87,434.36,3852657.688,North America
Honduras,72.99,1421.79,2832386.563,Europe
Hungary,73.83,8513.64,1604902.25,Europe
Iceland,82.44,30159.5,186177.625,Europe
India,65.42,837.92,421467690.9,Asia
Indonesia,67.56,1669.12,116555259.4,Asia
Iran (Islamic Republic of),73.86,0,0,Asia
Iraq,70.36,3542.56,18572840.81,Asia
Ireland,80.15,33835.27,3599794.563,Europe
Israel,81.3,18860.48,27862.875,Asia
Italy,82.19,21234.78,27643788.94,Europe
Jamaica,74.29,2509.55,1500309.125,North America
Japan,82.54,24892.54,97384.0625,Asia
Jordan,72.99,1822.63,4895075.688,Asia
Kazakhstan,66.76,4040.59,8340547.438,Asia
Kenya,57.48,716.77,16826787.63,Africa
Kiribati,65.15,1175.29,35919.9375,Oceania
Kuwait,73.84,31914.38,0,Asia
Kyrgyzstan,69.08,0,0,Asia
Lao People's Democratic Republic,62.38,0,0,Asia
Latvia,73.73,7951.82,1174562.688,Europe
Lebanon,74.2,4696.19,2489104.5,Africa
Lesotho,48.78,794.52,1200527.563,Africa
Liberia,57.53,246.28,2788942.625,Africa
Libya,72.49,4598.16,0,Africa
Lithuania,72.81,9007.46,1926212.125,Europe
Luxembourg,80.78,53257.01,265276.375,Europe
Madagascar,62.74,314.04,10950267.44,Africa
Malawi,49.89,237.5,6700263.063,Africa
Malaysia,73.76,4904.94,11529155.81,Asia
Maldives,75.54,3818.3,3334.25,Asia
Mali,54.94,530.51,5781492.875,Africa
Malta,80.36,10114.8,224742.4375,Europe
Marshall Islands,0,3617.75,0,Oceania
Mauritania,62.8,635.05,1262286.188,Africa
Mauritius,72.71,5299.58,663332.875,Africa
Mexico,75.72,5179.33,27585265.19,South America
Micronesia (Federated States of),68.2,0,0,Oceania
Monaco,0,0,0,Europe
Mongolia,65.89,1984.69,2037470.688,Asia
Montenegro,74.5,4676.51,329668.1875,Europe
Morocco,72.16,1936.39,20591653.94,Africa
Mozambique,53.39,365.07,11729745.94,Africa
Myanmar,64.2,616.18,26015702,Asia
Namibia,60.4,3042.6,1025527.125,Africa
Nauru,0,136.18,0,Oceania
Nepal,66.48,395.33,14633755.56,Asia
Netherlands,81.13,34964.72,9775704.375,Europe
New Zealand,81.34,14775.55,0,Oceania
Nicaragua,73.45,957.9,1999846.938,North America
Niger,56.98,259.78,11240718.94,Africa
Nigeria,51.36,1360.14,70877003.06,Africa
Niue,0,0,0,Oceania
Norway,81.79,27434.95,2614432.313,Europe
Oman,74.84,7621.31,0,Asia
Pakistan,64.5,666.11,69027961.81,Asia
Palau,0,1932.12,292,Oceania
Panama,76.49,5417.77,1955021.875,North America
Papua New Guinea,61.68,758.1,4813446,Africa
Paraguay,73.11,1983.4,3299080.625,South America
Peru,73.66,2928.54,16854321.69,South America
Philippines,67.58,1397.14,37265400.31,Asia
Poland,75.65,6792.56,16053249.63,Europe
Portugal,79.99,11598.63,1032225.375,Europe
Qatar,77.03,40748.44,0,Asia
Republic of Korea,80.49,0,0,Asia
Republic of Moldova,69.98,0,0,Europe
Romania,74.05,4258.94,9206345.625,Europe
Russian Federation,67.76,6545.14,59762085.63,Europe
Rwanda,59.31,300.02,3735506.563,Africa
Saint Kitts and Nevis,0,0,0,North America
Saint Lucia,73.6,0,0,North America
Saint Vincent and the Grenadines,73.48,0,0,North America
Samoa,73.62,2121.62,131440.125,Oceania
San Marino,0,0,0,North America
Sao Tome and Principe,65.16,771.03,108853.9375,Africa
Saudi Arabia,73.47,10689.05,0,Asia
Senegal,62.57,274.61,5413842.688,Africa
Serbia,73.96,3674.54,3608279.875,Europe
Seychelles,72.38,6496.3,61543.8125,Africa
Sierra Leone,46.11,271.51,3336264.563,Africa
Singapore,81.48,32790.11,0,Asia
Slovakia,74.75,0,0,Europe
Slovenia,79.73,11441.04,401279.0625,Europe
Solomon Islands,67.71,801.91,329044.1875,Oceania
Somalia,53.32,297.47,0,Africa
South Africa,57.5,4869.43,29213839.47,Africa
South Sudan,53.88,1092.23,3750827.125,Africa
Spain,82.07,17093.46,26542854.13,Europe
Sri Lanka,73.4,1040.11,10844.8125,Asia
Sudan,61.83,1192.8,18046515.13,Africa
Suriname,70.08,4781.22,190916.625,South America
Swaziland,51.33,2165.09,457303.0625,Africa
Sweden,82.52,29334.99,5514868.313,Europe
Switzerland,82.33,57362.87,5913241.813,Europe
Syrian Arab Republic,70.85,1087.44,6741444.813,Asia
Tajikistan,66.66,335.84,4751355,Asia
Thailand,73.08,3494.78,31170509.5,Asia
The former Yugoslav republic of Macedonia,74.11,0,0,Europe
Timor-Leste,64.76,551.71,460195.625,Asia
Togo,56.66,317.2,3722045.563,Africa
Tonga,72.53,1981.56,26589.8125,Oceania
Trinidad and Tobago,71.07,7741.75,776133.125,North America
Tunisia,74.36,3044.08,3274493.188,Africa
Turkey,73.91,3983.92,33501352.81,Asia
Turkmenistan,64.62,2511.61,2635550.188,Asia
Tuvalu,0,3542.14,1819,Oceania
Uganda,55.71,421.05,15540587.13,Africa
Ukraine,69.94,1577.29,10004933.25,Europe
United Arab Emirates,75.7,22110.37,0,Asia
United Kingdom of Great Britain and Northern Ireland,80.79,0,0,Europe
United Republic of Tanzania,56.01,0,0,Africa
United States of America,78.06,0,0,North America
Uruguay,76.08,7192.58,2396771.125,South America
Uzbekistan,68.03,651.09,903631.6875,Asia
Vanuatu,71.39,2000.25,123096.1875,Oceania
Venezuela (Bolivarian Republic of),73.39,0,0,South America
Viet Nam,74.78,0,0,Asia
Yemen,63.86,0,0,Asia
Zambia,53.91,811.81,6260246.438,Africa
Zimbabwe,50.49,410.98,8021343.063,Africa
